i; Xi; f(Xi); S; Lambda; |Xi - Xi-1|; |Yi - Yi-1|; |fi - fi-1|; Angel above X and S; Gradient
0; 4.000000 -7.000000; 52909.000000; -36379.788071 4365.574569; ; ; ; ; ; 36379.788071 -4365.574569
1; -0.059188 -6.512897; 4247.469635; 137.069746 1278.672086; 0.000112; 4.059188; 0.487103; 48661.530365; 2.209371; -181.898940 -1273.292582
2; 0.690067 0.476619; 0.096077; 0.736956 -0.084229; 0.005466; 0.749255; 6.989517; 4247.373558; 3.043891; -0.736911 0.084655
3; 0.691728 0.476429; 0.095455; 0.047184 0.412170; 0.002254; 0.001661; 0.000190; 0.000621; 0.718247; -0.047184 -0.412170
4; 0.692065 0.479373; 0.094842; 0.881845 1.219148; 0.007141; 0.000337; 0.002943; 0.000614; 0.853677; -0.732747 0.083267
5; 0.793676 0.619849; 0.052714; 1.814790 8.372544; 0.115225; 0.101611; 0.140476; 0.042128; 0.338795; 2.785272 -2.012973
6; 0.797230 0.636247; 0.041161; 0.620337 -0.133921; 0.001959; 0.003554; 0.016398; 0.011553; 0.694305; -0.620337 0.133921
7; 0.798215 0.636034; 0.040841; 0.126553 0.204910; 0.001589; 0.000985; 0.000213; 0.000320; 0.886185; -0.047184 -0.222045
8; 0.888022 0.781446; 0.017633; 13.789328 27.496961; 0.709637; 0.089807; 0.145412; 0.023208; 0.344733; 2.312039 -1.426290
9; 1.018186 1.041002; 0.002179; 1.701157 -0.859252; 0.009439; 0.130164; 0.259556; 0.015454; 0.384315; -1.701157 0.859252
10; 1.019846 1.040164; 0.000394; -0.007653 -0.015657; 0.000976; 0.001660; 0.000838; 0.001785; 1.264196; 0.007795 0.015585
11; 1.001573 1.002780; 0.000016; -0.856675 -1.371378; 2.387624; 0.018273; 0.037384; 0.000378; 2.820701; 0.150370 -0.073613
12; 1.000617 1.001249; 0.000000; 0.004924 -0.003078; 0.001116; 0.000956; 0.001531; 0.000016; 2.915167; -0.004924 0.003078
13; 1.000622 1.001246; 0.000000; -0.000251 -0.000502; 0.001008; 0.000005; 0.000003; 0.000000; 1.344430; 0.000296 0.000473
